name,description,img,url,children,parent
Инструменты (прокладка сети),,,,[],Пассивное сетевое
Тестеры кабельные,,,,[],Пассивное сетевое
Колпачки коннекторов,,,,[],Пассивное сетевое
Антенны Wi-Fi,,,,[],Пассивное сетевое
Модули Keystone,,,,[],Пассивное сетевое
Наборы инструментов для сети,,,,[],Пассивное сетевое
Оптические патч-корды,,,,[],Пассивное сетевое
Компьютерные розетки,,,,[],Пассивное сетевое
Телефонные розетки,,,,[],Пассивное сетевое
Программное обеспечение,, https://img3.itbox.ua/150x150/prod_img/3/U0377713.jpg ,,[],Ноутбуки и компьютеры
Операционные системы,,,,[],Программное обеспечение
Антивирусы,,,,[],Программное обеспечение
Офисные приложения,,,,[],Программное обеспечение
ПО для сервера,,,,[],Программное обеспечение
Карты активации,,,,[],Программное обеспечение
Карты онлайн пополнения,,,,[],Программное обеспечение
Серверное оборудование,, https://img3.itbox.ua/150x150/prod_img/3/U0377713.jpg ,,[],Ноутбуки и компьютеры
Серверы,,,,[],Серверное оборудование
Патч-панели,,,,[],Серверное оборудование
Силовые блоки,,,,[],Серверное оборудование
Серверные платформы,,,,[],Серверное оборудование
Модули для шкафа,,,,[],Серверное оборудование
Вентиляторные модули,,,,[],Серверное оборудование
Заглушки,,,,[],Серверное оборудование
Серверные шкафы и стойки,,,,[],Серверное оборудование
Бэкплейны,,,,[],Серверное оборудование
RAID контролеры,,,,[],Серверное оборудование
Кабельные организаторы,,,,[],Серверное оборудование
Серверные полки 19 дюймов,,,,[],Серверное оборудование
Дата картриджи,,,,[],Серверное оборудование
Корзины для серверов,,,,[],Серверное оборудование
Товары для геймеров,, https://img3.itbox.ua/150x150/prod_img/3/U0377713.jpg ,,[],Ноутбуки и компьютеры
Кресла игровые,,,,[],Товары для геймеров
Игровые манипуляторы,,,,[],Товары для геймеров
Игры,,,,[],Товары для геймеров
Защитные коврики под кресла,,,,[],Товары для геймеров
"Смартфоны, ТВ и электроника",,,,[],
Смартфоны и телефоны,, https://img8.itbox.ua/150x150/prod_img/8/U0462588.jpg ,,[],"Смартфоны, ТВ и электроника"
Телевизоры,, https://img8.itbox.ua/150x150/prod_img/8/U0462588.jpg ,,[],"Смартфоны, ТВ и электроника"
Аудиотехника,, https://img8.itbox.ua/150x150/prod_img/8/U0462588.jpg ,,[],"Смартфоны, ТВ и электроника"
Наушники и гарнитуры,,,,[],Аудиотехника
Акустические системы,,,,[],Аудиотехника
MP3-плееры,,,,[],Аудиотехника
Диктофоны,,,,[],Аудиотехника
Крепления для акустики,,,,[],Аудиотехника
Микрофоны,,,,[],Аудиотехника
Магнитолы,,,,[],Аудиотехника
Микшерные пульты,,,,[],Аудиотехника
Аксессуары к телевизорам,, https://img8.itbox.ua/150x150/prod_img/8/U0462588.jpg ,,[],"Смартфоны, ТВ и электроника"
Мультимедийные кабели,,,,[],Аксессуары к телевизорам
Крепления для ТВ,,,,[],Аксессуары к телевизорам
Медиаплееры,,,,[],Аксессуары к телевизорам
ТВ-тюнеры,,,,[],Аксессуары к телевизорам
Домашние кинотеатры,,,,[],Аксессуары к телевизорам
Стойки для плазм и ЖК,,,,[],Аксессуары к телевизорам
Кронштейны для DVD,,,,[],Аксессуары к телевизорам
Кабели телевизионные,,,,[],Аксессуары к телевизорам
Пульты ДУ для телевизора,,,,[],Аксессуары к телевизорам
Сплиттеры,,,,[],Аксессуары к телевизорам
Антенны,,,,[],Аксессуары к телевизорам
Карти активации ТВ,,,,[],Аксессуары к телевизорам
Видеокоммутаторы,,,,[],Аксессуары к телевизорам
Рамки для телевизора,,,,[],Аксессуары к телевизорам
Аксессуары для смартфонов,, https://img8.itbox.ua/150x150/prod_img/8/U0462588.jpg ,,[],"Смартфоны, ТВ и электроника"
Карты памяти,,,,[],Аксессуары для смартфонов
Повербанки,,,,[],Аксессуары для смартфонов
Дата кабели,,,,[],Аксессуары для смартфонов
Зарядки для смартфонов,,,,[],Аксессуары для смартфонов
Чехлы для мобильных,,,,[],Аксессуары для смартфонов
Bluetooth-гарнитуры,,,,[],Аксессуары для смартфонов
Селфи-моноподы,,,,[],Аксессуары для смартфонов
Стыковочные станции,,,,[],Аксессуары для смартфонов
Стилусы,,,,[],Аксессуары для смартфонов
Перчатки к сенсорным экранам,,,,[],Аксессуары для смартфонов
Адаптеры для SIM-карт,,,,[],Аксессуары для смартфонов
Защитные пленки и стекла,,,,[],Аксессуары для смартфонов
Стартовые пакеты,,,,[],Аксессуары для смартфонов
Наборы для блогеров,,,,[],Аксессуары для смартфонов
Защита мобильной техники,,,,[],Аксессуары для смартфонов
Держатели для смартфонов,,,,[],Аксессуары для смартфонов
Карточки пополнения счета,,,,[],Аксессуары для смартфонов
Гаджеты,, https://img8.itbox.ua/150x150/prod_img/8/U0462588.jpg ,,[],"Смартфоны, ТВ и электроника"
Роботы,,,,[],Гаджеты
Ремешки для фитнес браслета,,,,[],Гаджеты
Smart-часы,,,,[],Гаджеты
Фитнес браслеты,,,,[],Гаджеты
